Range GridFID=A3:B895,,FIDRangeXY is $B$4:$E$895,,,,,,,,,Range=TimeRange,,Range=Hourttime,
Range Name AddressXY,,,,,,,Range Name CASE#FID,,,,00:00,T1,0,T1
Adress,FID,Building Name,X,Y,,,Case,FID,Signal,,0.083333,T2,2,T2
E22,214,grid E22,891686.96100000001,501322.228,,,07000898,###,28,,,,,
E23,215,grid E23,891786.51599999995,501221.717,,,07000923,###,#N/A,,,,,
E24,216,grid E24,891854.05599999998,501146.70699999999,,,07000923,###,27,,,,,
E25,217,grid E25,891949.60699999996,501060.7,,,07000924,###,#N/A,,,,,
E26,218,grid E26,892044.16099999996,500955.68599999999,,,07000924,###,27,,,,,
E27,908,grid E27,892105.26399999997,500872.44699999999,,,07000925,###,#N/A,,,,,
E28,909,grid E28,892179.53200000001,500789.96399999998,,,07000925,###,28,,,,,
EE10,219,grid EE10,893044.527,504528.69699999999,,,07000926,###,#N/A,,,,,
EE11,220,grid EE11,893130.54500000004,504431.59899999999,,,07000926,###,14,,,,,
EE13,221,grid EE13,893284.26399999997,504271.56800000003,,,07000932,###,#N/A,,,,,
EE14,222,grid EE14,893367.45400000003,504171.00099999999,,,07000932,###,52,,,,,
EE15,223,grid EE15,893459.54,504080.08500000002,,,07000941,###,#N/A,,,,,
EE16,224,grid EE16,893540.33200000005,503979,,,07000941,###,14,,,,,
EE17,225,grid EE17,893629.62100000004,503875.913,,,07000951,###,#N/A,,,,,
EE19,226,grid EE19,893795.69099999999,503718.109,,,07000951,###,#N/A,,,,,
EE20,227,grid EE20,893860.66700000002,503623.23300000001,,,07000951,###,34,,,,,
EE21,228,grid EE21,893952.75300000003,503532.31699999998,,,07000951,###,18,,,,,
EE22,229,grid EE22,894039.19200000004,503436.31599999999,,,07000956,###,#N/A,,,,,
EE23,230,grid EE23,894110.37800000003,503357.25699999998,,,07000956,###,26,,,,,
EE24,231,grid EE24,894201.902,503255.609,,,07000957,###,#N/A,,,,,
EE25,232,grid EE25,894293.42599999998,503153.962,,,07000957,###,28,,,,,
EE26,233,grid EE26,894367.34699999995,503066.625,,,07000995,###,#N/A,,,,,
