case,fid,signal
07009773,###,
07009777,###,
07009778,###,
07009782,###,
07009789,###,
07009803,###,
07009803,###,
07009817,###,
07009819,783,
07009827,###,
07009829,###,
07009834,###,
07009835,###,
07009845,###,
07009848,###,
07009851,###,
07009863,###,
07009869,###,
07009892,###,
07009903,49,
07009904,###,
07009925,###,
07009928,###,
07009931,###,
07009935,###,
07009938,###,
07009948,###,
07009967,21,
07009988,###,
07009990,###,
07009993,77,
07010002,###,
07010011,219,
07010017,49,
07010028,10,
07010031,###,
07010047,###,
07010047,###,
07010053,###,
07010064,###,
07010403,395,
07010445,0,
07010688,62,
07010757,47,
07010938,174,
07010967,700,
07011039,78,
07011078,16,
07011173,321,
07011256,48,
07011299,606,
07011390,299,
07011415,563,
07011465,819,
07011713,106,
07011717,17,
08000128,32,
08000131,32,
08000215,432,
08000273,330,
08000363,961,27V
08000431,257,
08000561,877,
08000575,939,27v
08000576,880,
08000582,71,
08000583,462,
08000592,58,
08000594,14,
08000598,896,
08000621,253,
08000631,27,
08000631,27,
08000640,925,14TPW
08000657,62,
08000674,105,
08000682,250,
08000685,62,
08000692,74,
08000701,74,
08000702,82,
08000704,74,
08000732,18,
08000733,432,
08000737,130,
08000740,48,34
08000742,849,
08000745,36,
08000746,599,
08000758,30,
08000759,128,
08000770,71,
08000777,329,
08000781,23,
08000783,577,
08000819,46,
08000824,106,
08000832,927,14tpw
08000837,73,41
08000860,29,
08000869,410,
08000874,94,
08000877,425,
08000888,73,
08000957,806,
08000984,220,
08000989,911,
08001017,544,22
08001023,20,
08001029,130,
08001035,16,
08001047,18,
08001055,26,
08001059,70,
08001074,122,
08001075,50,
08001099,432,
08001110,123,
08001122,16,
08001127,886,
08001134,73,
08001149,81,27
08001176,310,
08001179,753,
08001180,361,
08001187,847,
08001198,46,
08001201,51,
08001204,615,22att
08001206,821,
08001213,242,
08001216,456,
08001221,123,
08001227,797,
08001241,877,
08001243,54,
08001256,784,52
08001262,439,14tpw
08001263,122,
08001264,475,
08001267,842,
08001274,649,
08001276,54,
08001288,123,41
08001297,563,41
08001300,257,
08001305,563,
08001322,48,
08001323,894,
